age,annual_income,credit_score,loan_amount,debt_to_income_ratio,employment_length_years,num_credit_accounts,num_late_payments,education_level,marital_status,employment_type,housing_status,loan_purpose,data_date
18,102101.83,669,87279.46,0.228,5,4,2,高中,已婚,全職,自有,購屋,2024-10-02 23:00:00
27,125997.85,733,223933.09,0.068,9,5,3,研究所,已婚,全職,自有,購車,2024-10-03 00:00:00
20,113938.01,715,218360.45,0.43,4,12,4,高中,單身,全職,租賃,其他,2024-10-03 01:00:00
22,131648.91,579,183856.84,0.105,6,4,1,專科,已婚,自僱,租賃,購車,2024-10-03 02:00:00
31,91346.1,623,186951.2,0.253,6,11,3,大學,已婚,全職,自有,債務整合,2024-10-03 03:00:00
20,83433.41,727,141703.28,0.614,8,10,4,大學,已婚,兼職,與家人同住,債務整合,2024-10-03 04:00:00
18,74607.85,656,246157.15,0.456,3,9,1,大學,已婚,全職,與家人同住,教育,2024-10-03 05:00:00
32,84300.54,605,113183.3,0.445,8,8,2,研究所,已婚,全職,自有,購車,2024-10-03 06:00:00
32,83456.7,772,257482.59,0.293,8,6,3,高中,已婚,全職,自有,教育,2024-10-03 07:00:00
38,108109.47,709,212121.58,0.145,6,9,2,大學,離婚,自僱,租賃,購車,2024-10-03 08:00:00
29,70566.09,663,196063.32,0.342,7,12,3,大學,單身,全職,與家人同住,其他,2024-10-03 09:00:00
18,48839.93,850,199314.4,0.155,5,11,3,專科,單身,退休,租賃,購車,2024-10-03 10:00:00
48,74242.69,595,235740.57,0.205,3,5,4,大學,單身,全職,自有,其他,2024-10-03 11:00:00
25,51919.48,592,149100.17,0.255,6,6,1,大學,單身,自僱,租賃,教育,2024-10-03 12:00:00
18,69640.61,643,223222.1,0.065,7,14,3,大學,已婚,全職,租賃,購屋,2024-10-03 13:00:00
47,31888.04,697,158042.6,0.652,6,5,1,專科,已婚,全職,租賃,購屋,2024-10-03 14:00:00
50,75905.07,711,205580.69,0.16,1,5,1,大學,離婚,退休,與家人同住,購車,2024-10-03 15:00:00
18,52944.75,616,93433.82,0.57,6,5,0,專科,已婚,全職,租賃,購車,2024-10-03 16:00:00
18,93636.24,566,142884.21,0.226,7,3,5,研究所,單身,全職,與家人同住,購屋,2024-10-03 17:00:00
27,65543.92,721,276491.47,0.403,7,7,2,大學,已婚,自僱,租賃,債務整合,2024-10-03 18:00:00
33,27115.24,639,253249.0,0.229,5,8,1,專科,單身,自僱,自有,購屋,2024-10-03 19:00:00
37,64837.63,675,270688.77,0.166,5,12,2,大學,已婚,兼職,自有,債務整合,2024-10-03 20:00:00
60,72912.91,681,242739.35,0.494,6,10,1,研究所,已婚,自僱,租賃,購車,2024-10-03 21:00:00
18,83312.7,751,145121.73,0.31,4,9,4,研究所,單身,全職,自有,購車,2024-10-03 22:00:00
31,88274.46,633,151970.84,0.08,8,7,0,研究所,單身,全職,與家人同住,購車,2024-10-03 23:00:00
18,54849.46,802,234409.05,0.384,6,7,0,研究所,已婚,兼職,租賃,其他,2024-10-04 00:00:00
32,55959.67,663,239399.69,0.546,3,9,3,專科,單身,退休,與家人同住,購車,2024-10-04 01:00:00
49,74275.74,567,256232.52,0.267,12,4,0,研究所,已婚,自僱,自有,購車,2024-10-04 02:00:00
18,82599.59,594,190627.99,0.347,7,17,6,大學,單身,全職,與家人同住,教育,2024-10-04 03:00:00
18,86819.93,590,176435.29,0.151,7,8,5,高中,已婚,全職,租賃,購車,2024-10-04 04:00:00
39,98783.08,636,245794.69,0.097,5,8,1,研究所,單身,全職,自有,教育,2024-10-04 05:00:00
39,33098.19,695,95982.89,0.138,5,7,2,專科,已婚,自僱,自有,購車,2024-10-04 06:00:00
20,99255.18,771,170711.0,0.242,6,9,2,研究所,單身,全職,與家人同住,教育,2024-10-04 07:00:00
39,95468.5,502,165829.28,0.309,2,5,0,研究所,已婚,全職,與家人同住,其他,2024-10-04 08:00:00
45,96253.63,770,166473.52,0.124,7,7,1,研究所,已婚,全職,自有,其他,2024-10-04 09:00:00
36,69440.16,788,252883.87,0.161,6,10,3,大學,單身,全職,自有,購屋,2024-10-04 10:00:00
47,81370.42,839,214036.64,0.36,6,5,5,大學,離婚,全職,與家人同住,購車,2024-10-04 11:00:00
33,87317.84,708,186796.0,0.426,4,8,4,研究所,單身,全職,自有,購車,2024-10-04 12:00:00
26,70388.91,532,96052.91,0.214,3,12,2,研究所,單身,全職,與家人同住,購屋,2024-10-04 13:00:00
33,98785.25,576,117621.3,0.431,6,10,1,高中,單身,全職,自有,教育,2024-10-04 14:00:00
40,45461.76,746,224425.26,0.359,5,5,1,大學,單身,兼職,自有,其他,2024-10-04 15:00:00
18,92993.68,698,193989.18,0.09,6,12,0,大學,單身,全職,自有,購屋,2024-10-04 16:00:00
33,87365.12,624,247555.18,0.092,6,15,1,高中,單身,全職,與家人同住,購屋,2024-10-04 17:00:00
28,112988.13,575,140857.46,0.375,2,13,0,研究所,單身,全職,與家人同住,債務整合,2024-10-04 18:00:00
23,123464.28,605,182361.7,0.452,10,6,3,大學,已婚,全職,自有,購車,2024-10-04 19:00:00
18,70207.22,716,170776.7,0.369,4,6,1,大學,單身,兼職,租賃,購車,2024-10-04 20:00:00
18,113452.48,726,228682.22,0.468,9,12,1,大學,已婚,全職,與家人同住,教育,2024-10-04 21:00:00
23,82585.34,752,293375.44,0.482,11,7,4,研究所,單身,全職,與家人同住,購屋,2024-10-04 22:00:00
22,83289.09,780,149059.29,0.054,8,9,2,大學,單身,全職,自有,購車,2024-10-04 23:00:00
41,84883.72,604,68010.43,0.588,4,10,2,研究所,單身,全職,與家人同住,購屋,2024-10-05 00:00:00
43,41539.09,748,206800.32,0.563,7,8,2,研究所,已婚,兼職,自有,購車,2024-10-05 01:00:00
19,103382.59,616,202784.24,0.236,6,8,3,大學,已婚,自僱,租賃,購屋,2024-10-05 02:00:00
19,40304.97,665,80106.32,0.378,4,10,5,大學,單身,全職,租賃,教育,2024-10-05 03:00:00
23,87608.88,616,125722.91,0.113,13,8,2,研究所,離婚,兼職,租賃,購屋,2024-10-05 04:00:00
43,20000.0,736,155831.7,0.591,6,6,2,大學,已婚,全職,自有,教育,2024-10-05 05:00:00
21,69573.22,628,242931.25,0.269,2,5,2,研究所,單身,自僱,租賃,購車,2024-10-05 06:00:00
53,74740.13,726,123320.17,0.075,7,6,3,高中,單身,自僱,租賃,教育,2024-10-05 07:00:00
31,90982.18,730,165262.35,0.214,6,8,0,專科,已婚,全職,自有,債務整合,2024-10-05 08:00:00
35,111270.26,791,71714.86,0.215,3,10,2,研究所,已婚,兼職,自有,購車,2024-10-05 09:00:00
24,73112.33,721,206797.47,0.13,2,5,3,專科,單身,全職,自有,教育,2024-10-05 10:00:00
49,43841.13,824,111673.23,0.452,3,5,3,大學,已婚,兼職,與家人同住,債務整合,2024-10-05 11:00:00
35,63799.74,623,299535.7,0.341,0,7,0,大學,單身,全職,與家人同住,教育,2024-10-05 12:00:00
24,80907.49,738,133230.55,0.235,13,8,1,大學,單身,全職,自有,購車,2024-10-05 13:00:00
18,78866.2,707,232222.27,0.226,7,9,1,研究所,已婚,自僱,與家人同住,其他,2024-10-05 14:00:00
38,31523.13,614,209485.52,0.586,4,2,3,研究所,單身,全職,與家人同住,購屋,2024-10-05 15:00:00
22,62188.51,751,132348.86,0.065,8,6,1,研究所,已婚,全職,與家人同住,購車,2024-10-05 16:00:00
27,61668.87,743,241052.07,0.168,2,7,3,研究所,單身,退休,自有,債務整合,2024-10-05 17:00:00
18,69810.27,623,68775.53,0.308,8,13,3,研究所,單身,全職,租賃,購車,2024-10-05 18:00:00
18,90009.04,544,178599.75,0.228,3,5,1,研究所,已婚,兼職,自有,購車,2024-10-05 19:00:00
22,55278.02,666,218827.89,0.26,3,7,1,大學,單身,全職,租賃,購屋,2024-10-05 20:00:00
29,101668.84,621,166731.72,0.667,7,13,2,大學,單身,自僱,與家人同住,債務整合,2024-10-05 21:00:00
18,93467.91,717,117075.3,0.407,4,11,4,研究所,已婚,全職,自有,其他,2024-10-05 22:00:00
26,22708.44,675,266884.76,0.154,3,8,2,研究所,單身,全職,租賃,其他,2024-10-05 23:00:00
21,64552.64,817,172986.91,0.446,8,7,1,研究所,已婚,退休,租賃,購屋,2024-10-06 00:00:00
28,80299.03,615,149467.79,0.302,4,13,3,大學,已婚,自僱,自有,購屋,2024-10-06 01:00:00
40,112768.23,727,119211.73,0.088,6,14,0,研究所,已婚,全職,自有,購車,2024-10-06 02:00:00
32,45035.19,566,185261.92,0.425,5,10,0,專科,單身,自僱,租賃,購屋,2024-10-06 03:00:00
22,31891.75,596,168277.35,0.343,7,6,3,專科,單身,全職,與家人同住,教育,2024-10-06 04:00:00
29,80586.68,639,164063.0,0.035,7,11,2,大學,單身,全職,租賃,債務整合,2024-10-06 05:00:00
37,49823.67,607,270812.3,0.294,5,13,2,專科,已婚,全職,自有,購屋,2024-10-06 06:00:00
38,73170.29,709,269813.51,0.304,8,5,2,大學,已婚,兼職,自有,購屋,2024-10-06 07:00:00
32,56767.14,672,193758.42,0.151,5,9,2,大學,已婚,全職,與家人同住,其他,2024-10-06 08:00:00
51,98023.41,749,217811.84,0.446,8,5,1,研究所,已婚,全職,租賃,購車,2024-10-06 09:00:00
19,93571.09,604,98095.4,0.088,12,13,4,研究所,已婚,自僱,自有,購屋,2024-10-06 10:00:00
36,59839.33,689,185020.16,0.261,4,7,3,專科,單身,退休,租賃,購車,2024-10-06 11:00:00
29,112771.99,638,194743.18,0.286,6,13,1,高中,已婚,兼職,自有,教育,2024-10-06 12:00:00
42,76590.27,776,168062.12,0.048,5,14,1,專科,離婚,退休,與家人同住,債務整合,2024-10-06 13:00:00
30,83264.73,592,155987.07,0.28,4,11,1,大學,單身,自僱,自有,購車,2024-10-06 14:00:00
55,58443.94,534,136589.61,0.152,6,7,1,研究所,單身,全職,自有,教育,2024-10-06 15:00:00
31,56578.81,628,181942.98,0.195,8,8,2,大學,已婚,全職,租賃,購車,2024-10-06 16:00:00
38,113328.13,585,242975.23,0.013,12,6,3,研究所,單身,兼職,租賃,教育,2024-10-06 17:00:00
27,77899.28,686,252105.35,0.146,6,5,1,大學,單身,兼職,自有,其他,2024-10-06 18:00:00
34,80678.77,721,179998.88,0.272,3,9,3,大學,單身,兼職,自有,其他,2024-10-06 19:00:00
22,62214.07,733,238637.17,0.339,7,7,0,研究所,單身,兼職,自有,教育,2024-10-06 20:00:00
35,81819.25,504,128692.1,0.323,7,14,0,研究所,單身,全職,租賃,購車,2024-10-06 21:00:00
18,75447.26,732,211002.48,0.245,2,3,3,大學,單身,自僱,自有,購車,2024-10-06 22:00:00
23,74547.95,693,173807.3,0.348,5,11,2,專科,單身,兼職,自有,購車,2024-10-06 23:00:00
21,116265.82,743,142493.07,0.416,1,5,1,專科,已婚,全職,自有,其他,2024-10-07 00:00:00
52,78343.8,745,298579.58,0.258,4,4,5,大學,已婚,兼職,與家人同住,教育,2024-10-07 01:00:00
21,46699.15,625,153984.17,0.172,9,13,3,大學,已婚,全職,自有,購車,2024-10-07 02:00:00
24,87455.58,602,159921.03,0.283,10,8,2,專科,已婚,全職,租賃,教育,2024-10-07 03:00:00
20,65797.84,701,154716.66,0.138,6,6,1,研究所,單身,全職,租賃,購屋,2024-10-07 04:00:00
34,49651.13,752,199025.12,0.369,7,6,1,專科,單身,全職,租賃,其他,2024-10-07 05:00:00
26,57125.77,574,254170.22,0.297,5,14,0,研究所,已婚,全職,租賃,購車,2024-10-07 06:00:00
24,102244.33,683,116691.8,0.553,6,9,2,研究所,單身,全職,與家人同住,購車,2024-10-07 07:00:00
55,49303.31,633,206224.58,0.184,4,10,1,研究所,已婚,全職,自有,購屋,2024-10-07 08:00:00
31,50558.42,633,199130.12,0.5,5,7,5,高中,單身,兼職,自有,教育,2024-10-07 09:00:00
38,76570.1,643,91424.05,0.373,7,10,1,大學,已婚,兼職,自有,其他,2024-10-07 10:00:00
34,66795.84,727,254289.75,0.264,6,7,1,大學,離婚,兼職,租賃,購車,2024-10-07 11:00:00
19,50486.81,721,194800.37,0.082,5,14,1,研究所,已婚,自僱,租賃,購車,2024-10-07 12:00:00
23,97997.36,638,219760.0,0.058,7,8,2,大學,單身,全職,租賃,購車,2024-10-07 13:00:00
18,64443.56,565,65955.47,0.109,10,5,2,大學,已婚,全職,與家人同住,購車,2024-10-07 14:00:00
18,42624.05,760,260539.32,0.692,5,13,2,大學,單身,全職,租賃,教育,2024-10-07 15:00:00
30,82466.89,739,293291.73,0.255,7,6,1,高中,離婚,全職,自有,購屋,2024-10-07 16:00:00
31,95362.42,782,171732.79,0.363,7,9,5,大學,單身,全職,租賃,其他,2024-10-07 17:00:00
28,86757.13,718,140214.16,0.436,4,14,3,研究所,離婚,退休,自有,購車,2024-10-07 18:00:00
34,91456.48,786,45307.82,0.039,2,7,0,研究所,已婚,兼職,租賃,教育,2024-10-07 19:00:00
28,91039.92,496,108650.14,0.171,6,4,1,研究所,單身,全職,自有,債務整合,2024-10-07 20:00:00
44,68312.04,665,226021.79,0.468,4,7,0,大學,已婚,兼職,租賃,購車,2024-10-07 21:00:00
23,63400.72,619,178209.5,0.314,6,8,3,研究所,單身,兼職,與家人同住,教育,2024-10-07 22:00:00
41,58211.05,833,96556.24,0.191,4,6,2,大學,已婚,全職,自有,教育,2024-10-07 23:00:00
39,74827.62,579,263893.31,0.091,6,9,1,大學,已婚,自僱,自有,購屋,2024-10-08 00:00:00
18,34104.15,567,143198.54,0.428,9,8,2,大學,已婚,全職,租賃,其他,2024-10-08 01:00:00
18,46124.97,624,98636.79,0.376,6,8,4,專科,單身,兼職,租賃,購車,2024-10-08 02:00:00
18,108212.7,645,182469.42,0.383,5,5,3,大學,離婚,全職,租賃,購屋,2024-10-08 03:00:00
33,97420.56,660,208061.33,0.07,5,4,4,研究所,單身,全職,自有,其他,2024-10-08 04:00:00
18,78874.96,747,106324.56,0.515,8,13,0,高中,單身,自僱,自有,教育,2024-10-08 05:00:00
42,113192.75,815,163490.52,0.101,6,8,0,大學,已婚,全職,與家人同住,教育,2024-10-08 06:00:00
18,84559.19,752,264618.38,0.069,6,12,3,專科,已婚,兼職,與家人同住,債務整合,2024-10-08 07:00:00
32,75688.76,850,105487.72,0.076,7,10,4,研究所,已婚,自僱,與家人同住,購車,2024-10-08 08:00:00
18,41147.57,777,199294.69,0.279,7,13,2,高中,單身,自僱,自有,購車,2024-10-08 09:00:00
36,68062.71,624,162564.36,0.533,6,6,0,專科,單身,全職,自有,購屋,2024-10-08 10:00:00
26,99482.11,673,209506.55,0.423,9,8,3,高中,單身,兼職,自有,債務整合,2024-10-08 11:00:00
24,89009.45,738,122378.21,0.046,8,11,0,大學,離婚,全職,租賃,購車,2024-10-08 12:00:00
21,123935.11,589,192856.25,0.428,8,12,2,大學,單身,全職,與家人同住,購車,2024-10-08 13:00:00
18,75602.27,650,127557.9,0.313,5,10,2,專科,已婚,全職,自有,購車,2024-10-08 14:00:00
34,20000.0,727,69943.75,0.324,3,9,1,高中,單身,兼職,自有,教育,2024-10-08 15:00:00
21,84621.29,827,102421.35,0.365,3,9,4,研究所,已婚,全職,租賃,教育,2024-10-08 16:00:00
58,20000.0,677,168013.19,0.4,9,10,2,研究所,單身,全職,租賃,購車,2024-10-08 17:00:00
49,63028.92,690,192862.75,0.184,5,5,2,大學,已婚,兼職,與家人同住,購車,2024-10-08 18:00:00
26,97331.2,710,246589.4,0.1,4,11,1,研究所,已婚,全職,租賃,購屋,2024-10-08 19:00:00
25,117096.72,540,199699.37,0.235,5,6,2,研究所,已婚,全職,自有,購車,2024-10-08 20:00:00
27,49132.37,646,265726.38,0.49,2,8,1,大學,已婚,全職,自有,教育,2024-10-08 21:00:00
47,84969.22,606,168939.13,0.134,9,7,1,大學,已婚,兼職,租賃,購車,2024-10-08 22:00:00
55,114391.43,745,210349.12,0.738,5,5,2,大學,已婚,退休,與家人同住,購屋,2024-10-08 23:00:00
18,77406.54,639,126018.71,0.233,7,7,0,研究所,已婚,兼職,自有,購車,2024-10-09 00:00:00
46,59603.65,772,197293.61,0.366,6,9,2,研究所,已婚,全職,租賃,其他,2024-10-09 01:00:00
26,121173.92,739,159464.88,0.278,8,6,3,大學,單身,全職,自有,購屋,2024-10-09 02:00:00
20,99797.33,677,153451.41,0.398,8,7,0,研究所,已婚,兼職,租賃,購屋,2024-10-09 03:00:00
43,76667.6,630,183899.49,0.296,3,5,2,專科,離婚,自僱,自有,教育,2024-10-09 04:00:00
30,36780.11,617,102008.01,0.469,5,8,1,研究所,單身,全職,自有,其他,2024-10-09 05:00:00
46,66091.29,803,198211.15,0.114,3,14,0,高中,已婚,全職,租賃,購屋,2024-10-09 06:00:00
41,56747.33,512,218753.1,0.106,5,5,2,大學,單身,全職,自有,購車,2024-10-09 07:00:00
33,32053.17,668,141284.27,0.078,4,11,1,研究所,已婚,全職,自有,購屋,2024-10-09 08:00:00
49,108733.09,692,190059.37,0.183,4,5,2,研究所,單身,全職,自有,購屋,2024-10-09 09:00:00
28,89328.53,494,248758.37,0.041,5,5,1,大學,單身,全職,自有,購車,2024-10-09 10:00:00
18,57252.74,779,221497.78,0.227,7,9,2,高中,離婚,全職,與家人同住,購車,2024-10-09 11:00:00
53,60373.86,691,172668.36,0.304,5,9,4,大學,單身,退休,租賃,購車,2024-10-09 12:00:00
27,63542.03,733,201788.42,0.357,6,6,1,大學,單身,全職,自有,購屋,2024-10-09 13:00:00
32,50038.59,734,262095.37,0.433,5,5,2,研究所,已婚,兼職,租賃,教育,2024-10-09 14:00:00
23,146183.29,777,193947.7,0.15,6,6,3,專科,單身,全職,自有,購車,2024-10-09 15:00:00
31,57100.94,739,232084.59,0.176,11,13,1,專科,已婚,兼職,租賃,教育,2024-10-09 16:00:00
33,66946.37,739,223766.14,0.523,7,5,2,專科,已婚,退休,自有,教育,2024-10-09 17:00:00
18,57804.58,706,185221.39,0.572,8,7,2,專科,單身,全職,自有,教育,2024-10-09 18:00:00
18,30190.51,754,250959.19,0.164,4,10,1,研究所,離婚,全職,與家人同住,其他,2024-10-09 19:00:00
19,44186.62,850,124355.89,0.036,7,8,2,專科,已婚,兼職,自有,購屋,2024-10-09 20:00:00
28,101493.87,618,203532.2,0.393,6,11,0,大學,單身,全職,自有,其他,2024-10-09 21:00:00
35,66851.19,716,149591.59,0.133,10,10,5,大學,已婚,自僱,租賃,購屋,2024-10-09 22:00:00
45,85364.5,742,229074.24,0.327,7,9,3,高中,單身,全職,自有,債務整合,2024-10-09 23:00:00
59,86421.88,551,179030.37,0.279,6,9,2,高中,已婚,全職,租賃,教育,2024-10-10 00:00:00
32,86486.16,826,232517.94,0.152,4,5,3,研究所,已婚,退休,與家人同住,教育,2024-10-10 01:00:00
24,57655.82,727,222103.7,0.176,6,2,1,研究所,單身,自僱,自有,教育,2024-10-10 02:00:00
18,117236.83,705,156880.08,0.4,9,6,1,研究所,單身,全職,自有,教育,2024-10-10 03:00:00
33,98029.78,652,209555.41,0.363,5,9,2,大學,已婚,兼職,租賃,購車,2024-10-10 04:00:00
27,86903.85,742,205161.03,0.238,9,10,2,大學,已婚,全職,自有,購屋,2024-10-10 05:00:00
25,81277.44,585,168758.74,0.156,10,8,3,專科,單身,全職,租賃,購車,2024-10-10 06:00:00
22,40563.59,813,227670.43,0.454,2,10,0,大學,單身,全職,自有,購車,2024-10-10 07:00:00
22,95736.02,761,173963.39,0.355,6,8,3,研究所,單身,全職,租賃,購屋,2024-10-10 08:00:00
33,71700.92,665,137141.36,0.323,4,7,0,大學,單身,全職,租賃,購車,2024-10-10 09:00:00
37,54744.4,790,195753.51,0.372,6,11,1,高中,已婚,全職,租賃,債務整合,2024-10-10 10:00:00
29,49472.09,535,205039.03,0.079,8,9,1,高中,單身,全職,租賃,購車,2024-10-10 11:00:00
39,99562.38,600,16242.3,0.383,4,12,1,專科,單身,兼職,自有,其他,2024-10-10 12:00:00
45,40087.02,680,311870.75,0.518,6,5,2,專科,已婚,全職,自有,購車,2024-10-10 13:00:00
28,65015.91,683,335680.91,0.219,4,13,1,研究所,單身,全職,租賃,購屋,2024-10-10 14:00:00
44,79000.09,711,134088.75,0.231,4,4,1,大學,已婚,全職,與家人同住,購車,2024-10-10 15:00:00
18,71301.35,691,213862.38,0.072,9,8,3,研究所,已婚,兼職,租賃,購屋,2024-10-10 16:00:00
33,85412.25,775,121246.43,0.425,5,4,1,大學,單身,全職,與家人同住,教育,2024-10-10 17:00:00
25,104366.21,573,88589.46,0.218,3,7,1,大學,單身,全職,租賃,購屋,2024-10-10 18:00:00
35,90466.87,535,154766.59,0.202,9,8,3,大學,單身,兼職,自有,購車,2024-10-10 19:00:00
18,76616.63,563,103760.59,0.127,8,8,0,專科,單身,全職,租賃,其他,2024-10-10 20:00:00
44,63841.74,571,209377.23,0.175,4,9,2,大學,單身,全職,租賃,購車,2024-10-10 21:00:00
29,39162.75,678,228357.65,0.279,5,5,0,大學,單身,兼職,自有,購車,2024-10-10 22:00:00
35,73395.57,664,276831.64,0.404,5,7,1,專科,單身,兼職,租賃,購屋,2024-10-10 23:00:00
20,65632.1,701,182605.39,0.065,4,9,1,研究所,單身,退休,與家人同住,教育,2024-10-11 00:00:00
50,88204.05,705,227474.71,0.269,2,10,0,高中,已婚,全職,與家人同住,購車,2024-10-11 01:00:00
34,71598.81,698,201446.73,0.458,9,10,4,研究所,已婚,全職,租賃,其他,2024-10-11 02:00:00
25,100990.01,578,195837.69,0.27,5,6,3,大學,單身,全職,租賃,購屋,2024-10-11 03:00:00
18,63994.45,659,125077.1,0.348,2,14,2,研究所,單身,全職,自有,購屋,2024-10-11 04:00:00
25,61011.79,636,166822.12,0.311,13,7,3,高中,已婚,自僱,自有,購車,2024-10-11 05:00:00
18,85572.36,775,159798.92,0.343,6,10,2,大學,單身,全職,租賃,購屋,2024-10-11 06:00:00
31,77687.77,705,212479.6,0.322,9,10,1,研究所,單身,自僱,租賃,購車,2024-10-11 07:00:00
37,84496.2,826,64103.99,0.313,7,8,3,研究所,單身,退休,租賃,購車,2024-10-11 08:00:00
38,71704.8,598,237857.18,0.318,3,9,2,研究所,已婚,兼職,租賃,購屋,2024-10-11 09:00:00
19,75651.56,653,165358.11,0.134,7,6,3,研究所,單身,全職,自有,其他,2024-10-11 10:00:00
22,67589.23,750,143349.38,0.319,7,7,0,大學,已婚,全職,與家人同住,購車,2024-10-11 11:00:00
28,78322.23,637,198973.07,0.055,4,8,1,研究所,已婚,全職,自有,購屋,2024-10-11 12:00:00
